0	phase	Time	Elapsed Time	lat	lon	
1	setup phase	2023-08-02 18:05:40.762333	1.111076831817627	35.924416	139.912848	
2	release phase	2023-08-02 18:05:41.781916	2.130657911300659	35.924416	139.912847	
3	land phase	2023-08-02 18:06:11.919218	32.26796913146973	35.924416	139.912847	
4	melt phase	2023-08-02 18:06:30.152319	50.50107145309448	35.924401	139.912836	
5	paraavo phase	2023-08-02 18:06:51.838481	72.1872329711914	35.924405	139.912836	
6	gps running1 phase	2023-08-02 18:06:59.928147	80.27689909934998	35.924392	139.912833	
7	humandetect phase	2023-08-02 18:07:58.568644	138.91739463806152	35.9244	139.912453	
8	gps running2 phase	2023-08-02 18:08:01.578523	141.92726492881775	35.924411	139.912453	
9	goal phase	2023-08-02 18:09:13.259487	213.60823678970337	35.924291	139.911998	
10	all phase complete	2023-08-02 18:12:26.261802	406.61055541038513	35.92416	139.912033	
