1	setup phase	2023-07-22 13:49:48.804589	0.0002200603485107422	
1	setup phase	2023-07-22 13:49:48.804589	0.0002200603485107422	
0	phase	Time	Elapsed Time	lat	lon	
1	setup phase	2023-08-03 17:39:56.477854	1.1122539043426514	35.924414	139.912915	
2	release phase	2023-08-03 17:39:57.500393	2.134800672531128	35.924413	139.912916	
3	land phase	2023-08-03 17:40:27.648058	32.28246760368347	35.924412	139.912915	
4	melt phase	2023-08-03 17:40:50.008060	54.64246988296509	35.92441	139.912913	
5	paraavo phase	2023-08-03 17:41:12.706984	77.34139323234558	35.924421	139.912941	
6	gps run1 phase	2023-08-03 17:41:19.658925	84.29333353042603	35.924433	139.912914	
7	mission phase	2023-08-03 17:42:56.176448	180.81085920333862	35.924278	139.912134	
8	gps run2 phase	2023-08-03 17:43:00.883584	185.5179841518402	35.92429	139.91213	
9	photorun phase	2023-08-03 17:43:12.920087	197.55449771881104	35.924292	139.912129	
10	all phase complete	2023-08-03 17:46:39.696961	404.3313698768616	35.924285	139.912112	
