1	setup phase	2023-07-22 13:56:03.260440	0.0005590915679931641	
1	setup phase	2023-07-22 13:56:03.260440	0.0005590915679931641	
2	release phase	2023-07-22 13:56:04.385347	1.125091552734375	
2	release phase	2023-07-22 13:56:04.385347	1.125091552734375	
0	phase	Time	Elapsed Time	lat	lon	
1	setup phase	2023-08-03 17:49:10.214644	1.1116700172424316	35.924436	139.912889	
2	release phase	2023-08-03 17:49:11.240108	2.1371304988861084	35.924435	139.912889	
3	land phase	2023-08-03 17:49:41.383733	32.28076529502869	35.924435	139.912889	
4	melt phase	2023-08-03 17:50:09.931984	60.82901740074158	35.924432	139.912883	
5	paraavo phase	2023-08-03 17:50:32.631012	83.5280454158783	35.924424	139.912869	
6	gps run1 phase	2023-08-03 17:50:41.559091	92.45612406730652	35.924443	139.912848	
7	mission phase	2023-08-03 17:51:41.932938	152.82997035980225	35.9243	139.912491	
8	gps run2 phase	2023-08-03 17:51:46.855067	157.7520911693573	35.924301	139.912477	
9	photorun phase	2023-08-03 17:52:50.167395	221.06442975997925	35.924249	139.912039	
10	all phase complete	2023-08-03 17:56:03.502392	414.39942502975464	35.924288	139.912071	
