0	phase	Time	Elapsed Time	lat	lon	
1	setup phase	2023-08-02 18:13:56.922741	1.1142046451568604	35.924324	139.912807	
2	release phase	2023-08-02 18:13:57.943496	2.1349685192108154	35.924324	139.912806	
3	land phase	2023-08-02 18:14:28.083463	32.274935245513916	35.924323	139.912805	
4	melt phase	2023-08-02 18:14:46.315683	50.50715613365173	35.924315	139.912796	
5	paraavo phase	2023-08-02 18:15:08.014168	72.20563960075378	35.924321	139.912796	
6	gps running1 phase	2023-08-02 18:15:14.577976	78.76945352554321	35.924347	139.912784	
7	humandetect phase	2023-08-02 18:16:07.399657	131.59112977981567	35.924305	139.912495	
8	gps running2 phase	2023-08-02 18:16:09.618367	133.80983138084412	35.924318	139.912483	
9	goal phase	2023-08-02 18:17:05.640464	189.83193683624268	35.924278	139.912095	
10	all phase complete	2023-08-02 18:18:16.780737	260.9722099304199	35.924242	139.912117	
