1	setup phase	2023-07-22 14:02:41.794893	0.0005528926849365234	
1	setup phase	2023-07-22 14:02:41.794893	0.0005528926849365234	
2	release phase	2023-07-22 14:02:42.921765	1.1274380683898926	
2	release phase	2023-07-22 14:02:42.921765	1.1274380683898926	
3	land phase	2023-07-22 14:03:13.015928	31.221595287322998	
3	land phase	2023-07-22 14:03:13.015928	31.221595287322998	
4	melt phase	2023-07-22 14:03:19.275894	37.48156142234802	
4	melt phase	2023-07-22 14:03:19.275894	37.48156142234802	
5	Paraavo phase	2023-07-22 14:03:25.335787	43.54145288467407	
5	Paraavo phase	2023-07-22 14:03:25.335787	43.54145288467407	
0	phase	Time	Elapsed Time	lat	lon	
1	setup phase	2023-08-03 18:02:01.392604	1.110443353652954	35.924397	139.91287	
2	release phase	2023-08-03 18:02:02.412280	2.130117177963257	35.924397	139.912869	
3	land phase	2023-08-03 18:02:32.551759	32.269612312316895	35.924397	139.912869	
4	melt phase	2023-08-03 18:02:52.846058	52.56397819519043	35.924403	139.912866	
5	paraavo phase	2023-08-03 18:03:15.543194	75.26104259490967	35.92441	139.912864	
6	gps run1 phase	2023-08-03 18:03:22.106714	81.82456231117249	35.924395	139.912851	
7	mission phase	2023-08-03 18:04:48.150225	167.8680739402771	35.92426	139.912509	
8	gps run2 phase	2023-08-03 18:04:51.143078	170.86091589927673	35.924274	139.912515	
9	photorun phase	2023-08-03 18:05:49.393864	229.11171126365662	35.924178	139.912075	
10	all phase complete	2023-08-03 18:08:17.255084	376.9729311466217	35.924225	139.91209	
